channel,signal_type,stimulus,mean_ISC,sd_ISC,n
dmPFC,HbO,Zima,0.045316614592292186,0.03460404736682683,95
rTPJ,HbO,Zima,0.04462454231458464,0.029200364705147783,91
ldlPFC,HbO,Zima,0.04455962855938976,0.028384969309354066,94
rdlPFC,HbO,Zima,0.044493133347079064,0.03720367114212262,96
vmPFC,HbO,Zima,0.04321404829521575,0.03397697030236296,95
lTPJ,HbO,Zima,0.04254104706259209,0.028533231414016584,91
ldlPFC,HbO,Splitscreen,0.03336083442344263,0.05104538245087278,102
vmPFC,HbO,Splitscreen,0.030066378052641916,0.047928414599104574,102
dmPFC,HbO,Splitscreen,0.027239478244104155,0.04586197883137565,102
rTPJ,HbR,Splitscreen,0.020836758980601545,0.03192423144712826,97
rdlPFC,HbO,Splitscreen,0.019242035675840957,0.0381287496243863,102
rTPJ,HbO,Splitscreen,0.018733405198621062,0.03935445498583918,98
rTPJ,HbR,Zima,0.017791959234657616,0.02517635066075413,92
lTPJ,HbR,Zima,0.01727210056025301,0.017977351774669918,91
lTPJ,HbO,Splitscreen,0.015058150819629202,0.02976633271725987,94
vmPFC,HbR,Zima,0.01441138530489103,0.019192934962254892,95
lTPJ,HbR,Splitscreen,0.010166728309401137,0.02189218739605612,94
rdlPFC,HbR,Zima,0.009038793741266747,0.023881729912117153,96
ldlPFC,HbR,Splitscreen,0.0067978609320710716,0.02007464534559489,101
ldlPFC,HbR,Zima,0.006287767762409772,0.011251112646900988,94
rdlPFC,HbR,Splitscreen,0.0058027817984957295,0.023678280957474433,103
dmPFC,HbR,Zima,0.005475276614217701,0.023325960272271348,95
vmPFC,HbR,Splitscreen,0.003782425596812073,0.02055546363267042,102
dmPFC,HbR,Splitscreen,0.0011038120213294038,0.015848914404322085,101
