ROI,Stimulus,Mean_HbO,Mean_HbR,t_value,p_value,n
dmPFC,Zima,0.045316614592292186,0.005475276614217701,14.571025494652524,7.567443958713734e-26,95
dmPFC,Splitscreen,0.02493657426805545,0.0011038120213294038,5.472272914398828,3.297868566963592e-7,101
lTPJ,Zima,0.04254104706259209,0.01727210056025301,8.283816826295713,1.0572540844786324e-12,91
ldlPFC,Zima,0.04455962855938976,0.006287767762409772,13.158732772394316,5.934244186150491e-23,94
ldlPFC,Splitscreen,0.031183473746290005,0.0067978609320710716,5.032216495846048,2.143281384452095e-6,101
rTPJ,Zima,0.04462454231458464,0.015665246357531824,9.058934928065057,2.5952195580538674e-14,91
rdlPFC,Zima,0.044493133347079064,0.009038793741266747,12.211920137045169,3.515100472172534e-21,96
rdlPFC,Splitscreen,0.019242035675840957,0.004055733577271862,3.77221551141954,2.7295623033380176e-4,102
vmPFC,Zima,0.04321404829521575,0.01441138530489103,8.357667297863067,5.6418136349847395e-13,95
vmPFC,Splitscreen,0.030066378052641916,0.003782425596812073,5.623423058943726,1.672775623195887e-7,102
