Outcome,Predictor,r,p_value,n
Mindwandering_Zima,MW_state_SART,0.550507113097262,4.649647131609333e-10,110
Mindwandering_Splitscreen,MW_state_SART,0.43208234175848115,3.020452849695512e-6,108
MW_Ratio,MW_state_SART,0.3875070237095333,5.25568689327952e-5,103
Mindwandering_Zima,GAD_total,0.36179909385659925,1.0289960442920426e-4,110
Mindwandering_Splitscreen,GAD_total,0.3300457952181976,4.860925725709644e-4,108
Mindwandering_Splitscreen,MW_trait_total,0.31093206373950705,0.0010555623625342,108
Mindwandering_Splitscreen,Neuroticism,0.3002389780899425,0.0015938033160798372,108
Mindwandering_Zima,PHQ9_total,0.2646837865760443,0.0052006770551072225,110
Mindwandering_Splitscreen,ASRS_total,0.2411234749406291,0.011941151398730239,108
Mindwandering_Zima,MW_trait_total,0.21242365150467388,0.025883219683721925,110
Mindwandering_Splitscreen,Agreeableness,-0.19953214650983075,0.03842075121458235,108
Mindwandering_Zima,Agreeableness,-0.1951911207752406,0.041003393427187985,110
